24 cycles	 0.000024 seconds
8 cycles	 0.000008 seconds
8 cycles	 0.000008 seconds
7 cycles	 0.000008 seconds
7 cycles	 0.000008 seconds
8 cycles	 0.000008 seconds
8 cycles	 0.000009 seconds
7 cycles	 0.000008 seconds
7 cycles	 0.000008 seconds
7 cycles	 0.000008 seconds
8 cycles	 0.000008 seconds
8 cycles	 0.000009 seconds
7 cycles	 0.000008 seconds
7 cycles	 0.000008 seconds
7 cycles	 0.000009 seconds
7 cycles	 0.000008 seconds
8 cycles	 0.000008 seconds
8 cycles	 0.000009 seconds
8 cycles	 0.000008 seconds
8 cycles	 0.000008 seconds
8 cycles	 0.000008 seconds
8 cycles	 0.000009 seconds
7 cycles	 0.000008 seconds
7 cycles	 0.000008 seconds
7 cycles	 0.000008 seconds
7 cycles	 0.000009 seconds
8 cycles	 0.000009 seconds
7 cycles	 0.000008 seconds
8 cycles	 0.000008 seconds
8 cycles	 0.000008 seconds
8 cycles	 0.000008 seconds
9 cycles	 0.000009 seconds
8 cycles	 0.000009 seconds
8 cycles	 0.000009 seconds
7 cycles	 0.000009 seconds
7 cycles	 0.000008 seconds
8 cycles	 0.000008 seconds
7 cycles	 0.000008 seconds
8 cycles	 0.000008 seconds
8 cycles	 0.000008 seconds
8 cycles	 0.000008 seconds
8 cycles	 0.000008 seconds
7 cycles	 0.000008 seconds
8 cycles	 0.000008 seconds
8 cycles	 0.000008 seconds
7 cycles	 0.000008 seconds
8 cycles	 0.000009 seconds
8 cycles	 0.000009 seconds
8 cycles	 0.000009 seconds
7 cycles	 0.000009 seconds
8 cycles	 0.000009 seconds
9 cycles	 0.000009 seconds
7 cycles	 0.000008 seconds
8 cycles	 0.000008 seconds
8 cycles	 0.000009 seconds
8 cycles	 0.000009 seconds
9 cycles	 0.000009 seconds
7 cycles	 0.000009 seconds
8 cycles	 0.000008 seconds
8 cycles	 0.000009 seconds
9 cycles	 0.000009 seconds
8 cycles	 0.000009 seconds
8 cycles	 0.000008 seconds
8 cycles	 0.000009 seconds
8 cycles	 0.000009 seconds
9 cycles	 0.000009 seconds
8 cycles	 0.000009 seconds
8 cycles	 0.000009 seconds
8 cycles	 0.000009 seconds
8 cycles	 0.000009 seconds
9 cycles	 0.000009 seconds
8 cycles	 0.000009 seconds
8 cycles	 0.000009 seconds
8 cycles	 0.000009 seconds
8 cycles	 0.000009 seconds
9 cycles	 0.000009 seconds
8 cycles	 0.000009 seconds
8 cycles	 0.000009 seconds
8 cycles	 0.000009 seconds
8 cycles	 0.000009 seconds
9 cycles	 0.000008 seconds
8 cycles	 0.000009 seconds
8 cycles	 0.000010 seconds
8 cycles	 0.000009 seconds
8 cycles	 0.000009 seconds
9 cycles	 0.000009 seconds
8 cycles	 0.000009 seconds
9 cycles	 0.000009 seconds
8 cycles	 0.000009 seconds
8 cycles	 0.000010 seconds
9 cycles	 0.000009 seconds
8 cycles	 0.000009 seconds
9 cycles	 0.000009 seconds
9 cycles	 0.000009 seconds
8 cycles	 0.000010 seconds
8 cycles	 0.000010 seconds
9 cycles	 0.000009 seconds
8 cycles	 0.000009 seconds
8 cycles	 0.000009 seconds
8 cycles	 0.000010 seconds
8 cycles	 0.000009 seconds
9 cycles	 0.000009 seconds
8 cycles	 0.000009 seconds
8 cycles	 0.000010 seconds
9 cycles	 0.000009 seconds
9 cycles	 0.000009 seconds
10 cycles	 0.000009 seconds
8 cycles	 0.000009 seconds
8 cycles	 0.000010 seconds
8 cycles	 0.000010 seconds
8 cycles	 0.000009 seconds
9 cycles	 0.000009 seconds
8 cycles	 0.000009 seconds
8 cycles	 0.000009 seconds
9 cycles	 0.000009 seconds
9 cycles	 0.000009 seconds
10 cycles	 0.000010 seconds
9 cycles	 0.000010 seconds
8 cycles	 0.000010 seconds
8 cycles	 0.000010 seconds
9 cycles	 0.000010 seconds
9 cycles	 0.000012 seconds
9 cycles	 0.000009 seconds
9 cycles	 0.000009 seconds
9 cycles	 0.000009 seconds
9 cycles	 0.000009 seconds
9 cycles	 0.000010 seconds
8 cycles	 0.000010 seconds
10 cycles	 0.000010 seconds
9 cycles	 0.000010 seconds
8 cycles	 0.000010 seconds
9 cycles	 0.000010 seconds
9 cycles	 0.000009 seconds
9 cycles	 0.000009 seconds
9 cycles	 0.000010 seconds
9 cycles	 0.000010 seconds
9 cycles	 0.000010 seconds
9 cycles	 0.000009 seconds
9 cycles	 0.000010 seconds
9 cycles	 0.000010 seconds
9 cycles	 0.000010 seconds
9 cycles	 0.000009 seconds
9 cycles	 0.000010 seconds
9 cycles	 0.000010 seconds
9 cycles	 0.000009 seconds
9 cycles	 0.000010 seconds
8 cycles	 0.000010 seconds
9 cycles	 0.000009 seconds
8 cycles	 0.000010 seconds
10 cycles	 0.000010 seconds
9 cycles	 0.000010 seconds
9 cycles	 0.000010 seconds
9 cycles	 0.000009 seconds
9 cycles	 0.000010 seconds
10 cycles	 0.000010 seconds
9 cycles	 0.000010 seconds
9 cycles	 0.000010 seconds
9 cycles	 0.000010 seconds
9 cycles	 0.000010 seconds
10 cycles	 0.000010 seconds
10 cycles	 0.000010 seconds
9 cycles	 0.000010 seconds
10 cycles	 0.000010 seconds
9 cycles	 0.000010 seconds
9 cycles	 0.000010 seconds
10 cycles	 0.000010 seconds
10 cycles	 0.000011 seconds
9 cycles	 0.000010 seconds
10 cycles	 0.000010 seconds
9 cycles	 0.000010 seconds
9 cycles	 0.000011 seconds
10 cycles	 0.000010 seconds
10 cycles	 0.000010 seconds
10 cycles	 0.000011 seconds
9 cycles	 0.000010 seconds
9 cycles	 0.000010 seconds
9 cycles	 0.000011 seconds
9 cycles	 0.000010 seconds
10 cycles	 0.000010 seconds
9 cycles	 0.000010 seconds
9 cycles	 0.000011 seconds
9 cycles	 0.000010 seconds
10 cycles	 0.000010 seconds
11 cycles	 0.000010 seconds
10 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
10 cycles	 0.000010 seconds
9 cycles	 0.000010 seconds
10 cycles	 0.000010 seconds
9 cycles	 0.000010 seconds
9 cycles	 0.000011 seconds
9 cycles	 0.000011 seconds
9 cycles	 0.000011 seconds
9 cycles	 0.000011 seconds
11 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
9 cycles	 0.000011 seconds
10 cycles	 0.000010 seconds
10 cycles	 0.000010 seconds
10 cycles	 0.000010 seconds
10 cycles	 0.000010 seconds
9 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
11 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
9 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
11 cycles	 0.000010 seconds
9 cycles	 0.000010 seconds
10 cycles	 0.000010 seconds
10 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
11 cycles	 0.000011 seconds
9 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
11 cycles	 0.000012 seconds
10 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
9 cycles	 0.000011 seconds
10 cycles	 0.000010 seconds
10 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
9 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
11 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
11 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
11 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
11 cycles	 0.000011 seconds
11 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
10 cycles	 0.000012 seconds
11 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
11 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
10 cycles	 0.000012 seconds
11 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
10 cycles	 0.000012 seconds
11 cycles	 0.000011 seconds
11 cycles	 0.000011 seconds
12 cycles	 0.000012 seconds
10 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
10 cycles	 0.000012 seconds
11 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
10 cycles	 0.000012 seconds
10 cycles	 0.000012 seconds
11 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
10 cycles	 0.000012 seconds
12 cycles	 0.000012 seconds
11 cycles	 0.000012 seconds
11 cycles	 0.000011 seconds
11 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
11 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
11 cycles	 0.000011 seconds
11 cycles	 0.000011 seconds
11 cycles	 0.000011 seconds
11 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
11 cycles	 0.000011 seconds
11 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
11 cycles	 0.000012 seconds
11 cycles	 0.000012 seconds
11 cycles	 0.000012 seconds
10 cycles	 0.000012 seconds
11 cycles	 0.000012 seconds
12 cycles	 0.000011 seconds
10 cycles	 0.000011 seconds
11 cycles	 0.000012 seconds
11 cycles	 0.000012 seconds
11 cycles	 0.000012 seconds
12 cycles	 0.000012 seconds
10 cycles	 0.000011 seconds
11 cycles	 0.000012 seconds
11 cycles	 0.000012 seconds
11 cycles	 0.000012 seconds
11 cycles	 0.000011 seconds
12 cycles	 0.000012 seconds
11 cycles	 0.000012 seconds
11 cycles	 0.000012 seconds
11 cycles	 0.000012 seconds
12 cycles	 0.000012 seconds
11 cycles	 0.000012 seconds
11 cycles	 0.000012 seconds
11 cycles	 0.000012 seconds
11 cycles	 0.000012 seconds
12 cycles	 0.000012 seconds
12 cycles	 0.000012 seconds
11 cycles	 0.000012 seconds
11 cycles	 0.000012 seconds
11 cycles	 0.000011 seconds
11 cycles	 0.000012 seconds
12 cycles	 0.000012 seconds
11 cycles	 0.000012 seconds
11 cycles	 0.000012 seconds
11 cycles	 0.000012 seconds
11 cycles	 0.000013 seconds
12 cycles	 0.000012 seconds
11 cycles	 0.000012 seconds
11 cycles	 0.000012 seconds
11 cycles	 0.000012 seconds
11 cycles	 0.000012 seconds
12 cycles	 0.000012 seconds
12 cycles	 0.000013 seconds
11 cycles	 0.000012 seconds
11 cycles	 0.000012 seconds
11 cycles	 0.000013 seconds
12 cycles	 0.000012 seconds
11 cycles	 0.000012 seconds
11 cycles	 0.000012 seconds
11 cycles	 0.000013 seconds
11 cycles	 0.000013 seconds
